Date,Max,Min,Avg
2021.11.01,14.6,7.2,10.90
2021.11.02,12.9,7.4,10.15
2021.11.03,12.3,6.8,9.55
2021.11.04,15.7,10.8,13.25
2021.11.05,10.8,7.2,9.00
2021.11.06,11.4,6.4,8.90
2021.11.07,10.5,8.4,9.45
2021.11.08,10.7,7.9,9.30
2021.11.09,11.9,6.1,9.00
2021.11.10,11.4,5.6,8.50
2021.11.11,11.2,6.1,8.65
2021.11.12,10.7,6,8.35
2021.11.13,10.5,5.9,8.20
2021.11.14,11.9,7.4,9.65
2021.11.15,12.2,7.9,10.05
2021.11.16,10.1,6.2,8.15
2021.11.17,9.1,5.1,7.10
2021.11.18,10.9,6.1,8.50
2021.11.19,10.2,6,8.10
2021.11.20,13.1,7.9,10.50
2021.11.21,10.9,6.4,8.65
2021.11.22,9.7,6,7.85
2021.11.23,8.3,4.7,6.50
2021.11.24,6.6,3.2,4.90
2021.11.25,7.2,2.3,4.75
2021.11.26,6.9,5.9,6.40
2021.11.27,6.3,2.6,4.45
2021.11.28,9,4.2,6.60
2021.11.29,3.8,1.3,2.55
2021.11.30,4.7,0.8,2.75
2021.12.01,8.8,4.2,6.50
2021.12.02,8.4,4.9,6.65
2021.12.03,5.1,1.1,3.10
2021.12.04,3.3,0.2,1.75
2021.12.05,2.2,0.9,1.55
2021.12.06,2.4,1.2,1.80
2021.12.07,1.7,-0.8,0.45
2021.12.08,2.1,-0.3,0.90
2021.12.09,3,0.3,1.65
2021.12.10,3.1,1.2,2.15
2021.12.11,1.8,-0.2,0.80
2021.12.12,2.5,-0.5,1.00
2021.12.13,2.6,-0.8,0.90
2021.12.14,3.6,0.5,2.05
2021.12.15,4,0.5,2.25
2021.12.16,4.5,1.7,3.10
2021.12.17,5.1,1.4,3.25
2021.12.18,3.9,0.7,2.30
2021.12.19,6.9,1.1,4.00
2021.12.20,5.8,1,3.40
2021.12.21,1.9,-0.2,0.85
2021.12.22,0.9,-0.9,0.00
2021.12.23,-0.3,-2,-1.15
2021.12.24,6.5,-0.1,3.20
2021.12.25,6.2,2.8,4.50
2021.12.26,2.9,0.7,1.80
2021.12.27,2.6,0.4,1.50
2021.12.28,2.1,0.3,1.20
2021.12.29,4.5,1.6,3.05
2021.12.30,5.3,2.6,3.95
2021.12.31,11.7,6.4,9.05
2022.01.01,12.3,7.6,9.95
2022.01.02,9.4,6.6,8.00
2022.01.03,11.8,7,9.40
2022.01.04,11,6.4,8.70
2022.01.05,11.3,4.4,7.85
2022.01.06,5.3,2,3.65
2022.01.07,2.9,0.4,1.65
2022.01.08,1.6,-0.7,0.45
2022.01.09,0.6,-1.2,-0.30
2022.01.10,3.4,-0.3,1.55
2022.01.11,2.6,0.1,1.35
2022.01.12,1,-1.3,-0.15
2022.01.13,1.6,-1.7,-0.05
2022.01.14,5.3,-0.1,2.60
2022.01.15,5,1.1,3.05
2022.01.16,1.9,-0.4,0.75
2022.01.17,5.8,2.2,4.00
2022.01.18,3.8,0.1,1.95
2022.01.19,3.1,-0.1,1.50
2022.01.20,4.5,-0.2,2.15
2022.01.21,0.8,-1.8,-0.50
2022.01.22,3,-0.9,1.05
2022.01.23,0.1,-2.4,-1.15
2022.01.24,0.2,-2.2,-1.00
2022.01.25,1.1,-3,-0.95
2022.01.26,3.1,-0.6,1.25
2022.01.27,4.4,0.4,2.40
2022.01.28,6,2.6,4.30
2022.01.29,3.9,0.7,2.30
2022.01.30,7.5,3.6,5.55
2022.01.31,4.2,1.2,2.70
2022.02.01,4.7,1.2,2.95
2022.02.02,5.9,1.1,3.50
2022.02.03,5.4,1.1,3.25
2022.02.04,7,2,4.50
2022.02.05,7.4,3.8,5.60
2022.02.06,7.2,2,4.60
2022.02.07,6.6,3.6,5.10
2022.02.08,6.5,2.1,4.30
2022.02.09,11,6.2,8.60
2022.02.10,11.2,5,8.10
2022.02.11,11,5.1,8.05
2022.02.12,7.4,1.8,4.60
2022.02.13,6.9,0.5,3.70
2022.02.14,9.4,0.7,5.05
2022.02.15,10.5,7.3,8.90
2022.02.16,10.2,5.8,8.00
2022.02.17,13.8,6,9.90
2022.02.18,11.7,5.8,8.75
2022.02.19,9.4,6.3,7.85
2022.02.20,8.9,3.8,6.35
2022.02.21,6.6,4.4,5.50
2022.02.22,8.6,4.4,6.50
2022.02.23,9.1,3.4,6.25
2022.02.24,10.4,3.3,6.85
2022.02.25,9.8,4.3,7.05
2022.02.26,8.3,2.6,5.45
2022.02.27,8.6,3.6,6.10
2022.02.28,4.5,2.2,3.35
2022.03.01,7.6,1.2,4.40
2022.03.02,7.2,1.2,4.20
2022.03.03,6.8,1.4,4.10
2022.03.04,6.4,1.4,3.90
2022.03.05,6.8,1.5,4.15
2022.03.06,7.5,1,4.25
2022.03.07,6.8,2.8,4.80
2022.03.08,7.3,1.1,4.20
2022.03.09,9.2,1.9,5.55
2022.03.10,6.3,1,3.65
2022.03.11,4.6,-1.5,1.55
2022.03.12,5.8,-0.6,2.60
2022.03.13,8.4,0.4,4.40
2022.03.14,10.8,1.8,6.30
2022.03.15,12.1,4.3,8.20
2022.03.16,8,4.5,6.25
2022.03.17,11.7,3.8,7.75
2022.03.18,9.7,3.7,6.70
2022.03.19,9.6,4.1,6.85
2022.03.20,9.3,2.3,5.80
2022.03.21,11.6,3.6,7.60
2022.03.22,16,5.5,10.75
2022.03.23,16.9,7.8,12.35
2022.03.24,18.7,9.3,14.00
2022.03.25,17,8.5,12.75
2022.03.26,17.5,9,13.25
2022.03.27,15.4,9.9,12.65
2022.03.28,19.9,8.5,14.20
2022.03.29,19.5,11.1,15.30
2022.03.30,17,10,13.50
2022.03.31,11.7,10.3,11.00
2022.04.01,11,6.7,8.85
2022.04.02,4.9,3.2,4.05
2022.04.03,6.7,2.4,4.55
2022.04.04,9,1.2,5.10
2022.04.05,10.9,3.3,7.10
2022.04.06,17.3,7.6,12.45
2022.04.07,16.4,10.1,13.25
2022.04.08,13.3,9.9,11.60
2022.04.09,13,7.5,10.25
2022.04.10,12.2,5.6,8.90
2022.04.11,12.1,4.2,8.15
2022.04.12,16.3,7,11.65
2022.04.13,16.4,7.8,12.10
2022.04.14,18.6,8.7,13.65
2022.04.15,17.3,10.2,13.75
2022.04.16,12.4,8.1,10.25
2022.04.17,12,5.5,8.75
2022.04.18,11,6,8.50
2022.04.19,10.6,5.8,8.20
2022.04.20,12.7,6,9.35
2022.04.21,16.3,6.7,11.50
2022.04.22,12.3,9.2,10.75
2022.04.23,10.8,8.8,9.80
2022.04.24,20,9.3,14.65
2022.04.25,16.4,9.8,13.10
2022.04.26,18.8,9.6,14.20
2022.04.27,12.9,10.5,11.70
2022.04.28,17.6,9.9,13.75
2022.04.29,18.5,11.9,15.20
2022.04.30,19.8,11.6,15.70
2022.05.01,20,11.4,15.70
2022.05.02,20.5,13.3,16.90
2022.05.03,21.6,13.2,17.40
2022.05.04,22.6,13.6,18.10
2022.05.05,23.1,12.4,17.75
2022.05.06,23,14,18.50
2022.05.07,22.5,15.7,19.10
2022.05.08,22.7,14.4,18.55
2022.05.09,22.8,13.7,18.25
2022.05.10,22.6,14.4,18.50
2022.05.11,25.2,15,20.10
2022.05.12,27.1,15.8,21.45
2022.05.13,25.4,17.2,21.30
2022.05.14,23.4,16,19.70
2022.05.15,25.2,14.4,19.80
2022.05.16,24.3,17.5,20.90
2022.05.17,20.8,15.7,18.25
2022.05.18,20.1,14,17.05
2022.05.19,22,11.4,16.70
2022.05.20,25.5,12.7,19.10
2022.05.21,22.9,17.2,20.05
2022.05.22,22.5,14.5,18.50
2022.05.23,23.7,13.9,18.80
2022.05.24,19.7,14.1,16.90
2022.05.25,24.7,13.4,19.05
2022.05.26,25.2,13.3,19.25
2022.05.27,25.8,17.2,21.50
2022.05.28,19.1,13.6,16.35
2022.05.29,13.8,9.9,11.85
2022.05.30,20.4,9.8,15.10
2022.05.31,24.1,11.3,17.70
2022.06.01,25,15.7,20.35
2022.06.02,27.3,16.8,22.05
2022.06.03,28.6,16.8,22.70
2022.06.04,25.8,18.6,22.20
2022.06.05,27.2,18.9,23.05
2022.06.06,27.3,17.4,22.35
2022.06.07,29.6,17.7,23.65
2022.06.08,24.7,17.2,20.95
2022.06.09,23.4,17,20.20
2022.06.10,24.3,16.2,20.25
2022.06.11,27.1,16,21.55
2022.06.12,27.3,17.6,22.45
2022.06.13,28.3,18.3,23.30
2022.06.14,23,14.6,18.80
2022.06.15,26.5,14.4,20.45
2022.06.16,28.1,17.5,22.80
2022.06.17,25.3,15.5,20.40
2022.06.18,27.5,16.1,21.80
2022.06.19,30.6,19,24.80
2022.06.20,32,19.5,25.75
2022.06.21,24.9,18.5,21.70
2022.06.22,28.2,17,22.60
2022.06.23,27.1,19.2,23.15
2022.06.24,30.5,18.7,24.60
2022.06.25,30.1,20.7,25.40
2022.06.26,32.8,19.4,26.10
2022.06.27,35.4,23,29.20
2022.06.28,34.5,23.5,29.00
2022.06.29,36.4,23.7,30.05
2022.06.30,36.9,24.9,30.90
2022.07.01,37.5,21.2,29.35
2022.07.02,31.4,18,24.70
2022.07.03,33.6,21.3,27.45
2022.07.04,36.6,21.8,29.20
2022.07.05,32.2,22.1,27.15
2022.07.06,28.8,19.3,24.05
2022.07.07,27.7,18.8,23.25
2022.07.08,23.7,15.9,19.80
2022.07.09,27.2,15.5,21.35
2022.07.10,24.1,16.4,20.25
2022.07.11,25.1,13,19.05
2022.07.12,27.1,14.3,20.70
2022.07.13,31.3,16,23.65
2022.07.14,34.8,21.1,27.95
2022.07.15,29.9,22,25.95
2022.07.16,30.6,19.4,25.00
2022.07.17,28.7,16.5,22.60
2022.07.18,29.8,17.6,23.70
2022.07.19,33.3,20.4,26.85
2022.07.20,36.1,22.4,29.25
2022.07.21,37.7,24.8,31.25
2022.07.22,38.6,25.3,31.95
2022.07.23,39.7,26.2,32.95
2022.07.24,34.5,23.3,28.90
2022.07.25,34.8,22.3,28.55
2022.07.26,31.9,23.7,27.80
2022.07.27,33.1,20.7,26.90
2022.07.28,33.7,22.2,27.95
2022.07.29,35,23.9,29.45
2022.07.30,32.5,21.7,27.10
2022.07.31,25.3,18,21.65
2022.08.01,30.7,16.7,23.70
2022.08.02,31.9,20,25.95
2022.08.03,32.7,22.6,27.65
2022.08.04,33.6,22.5,28.05
2022.08.05,37,24.2,30.60
2022.08.06,36.3,23.4,29.85
2022.08.07,31.2,20.4,25.80
2022.08.08,31.2,21.8,26.50
2022.08.09,30.9,18.9,24.90
2022.08.10,29.8,20.6,25.20
2022.08.11,29.2,19.4,24.30
2022.08.12,29.2,19.1,24.15
2022.08.13,32.1,21.3,26.70
2022.08.14,32.1,21.9,27.00
2022.08.15,34.1,24.4,29.25
2022.08.16,33.8,23.8,28.80
2022.08.17,35.5,23.9,29.70
2022.08.18,37.2,25.1,31.15
2022.08.19,38.8,24.7,31.75
2022.08.20,32.5,21.7,27.10
2022.08.21,20.8,18.4,19.60
2022.08.22,23.3,17.9,20.60
2022.08.23,24.7,18.4,21.55
2022.08.24,29.5,19.2,24.35
2022.08.25,31.6,20.7,26.15
2022.08.26,33.2,23.2,28.20
2022.08.27,33.7,23.3,28.50
2022.08.28,28.4,22.3,25.35
2022.08.29,28.8,20,24.40
2022.08.30,28.9,22.7,25.80
2022.08.31,28.6,21.4,25.00
2022.09.01,20,17.4,18.70
2022.09.02,21.4,15.9,18.65
2022.09.03,24.8,14.9,19.85
2022.09.04,23.5,17.7,20.60
2022.09.05,25.3,18.7,22.00
2022.09.06,25.9,20.6,23.25
2022.09.07,29.4,20.1,24.75
2022.09.08,30.6,18.8,24.70
2022.09.09,26.7,17.7,22.20
2022.09.10,23.3,16,19.65
2022.09.11,22.9,16.6,19.75
2022.09.12,23.8,14.9,19.35
2022.09.13,24.3,14.9,19.60
2022.09.14,27.6,19.2,23.40
2022.09.15,25,19.8,22.40
2022.09.16,19.3,13.7,16.50
2022.09.17,15.5,12.2,13.85
2022.09.18,15.1,10.4,12.75
2022.09.19,14.1,11.2,12.65
2022.09.20,14.2,9.5,11.85
2022.09.21,17.7,9.3,13.50
2022.09.22,18.6,10.4,14.50
2022.09.23,18,11.8,14.90
2022.09.24,19.7,12.3,16.00
2022.09.25,16.7,13.6,15.15
2022.09.26,17.4,13.3,15.35
2022.09.27,15.7,11.6,13.65
2022.09.28,16,11.4,13.70
2022.09.29,16.5,13.9,15.20
2022.09.30,21.1,14.6,17.85
2022.10.01,18.8,14.1,16.45
2022.10.02,18.1,12.9,15.50
2022.10.03,15.4,12.2,13.80
2022.10.04,17.7,12,14.85
2022.10.05,18.5,11.6,15.05
2022.10.06,19.7,13,16.35
2022.10.07,20.8,14,17.40
2022.10.08,20.1,13.7,16.90
2022.10.09,19.5,14.1,16.80
2022.10.10,19,11.8,15.40
2022.10.11,20,13.6,16.80
2022.10.12,18.9,13.9,16.40
2022.10.13,19.1,13.1,16.10
2022.10.14,18.7,13.2,15.95
2022.10.15,19.5,12.7,16.10
2022.10.16,20.3,14.3,17.30
2022.10.17,20.8,13.8,17.30
2022.10.18,20.1,14,17.05
2022.10.19,20.9,13.8,17.35
2022.10.20,14.9,10.2,12.55
2022.10.21,16,8.6,12.30
2022.10.22,18.4,11.7,15.05
2022.10.23,19.4,11.3,15.35
2022.10.24,18.8,13.7,16.25
2022.10.25,19.8,14.1,16.95
2022.10.26,19.9,13.9,16.90
2022.10.27,19.9,13.8,16.85
2022.10.28,19.3,13.5,16.40
2022.10.29,21,14.1,17.55
2022.10.30,21.1,14.6,17.85
2022.10.31,21,14.4,17.70
2022.11.01,21.1,12.9,17.00
2022.11.02,15.3,13.2,14.25
2022.11.03,17.1,12.2,14.65
2022.11.04,14.1,10.8,12.45
2022.11.05,12.4,9.8,11.10
2022.11.06,11.6,9.9,10.75
2022.11.07,13.3,10.8,12.05
2022.11.08,15,9.3,12.15
2022.11.09,14.8,8.7,11.75
2022.11.10,14.2,10.5,12.35
2022.11.11,13.5,9.3,11.40
2022.11.12,13.9,9.4,11.65
2022.11.13,13.1,8.3,10.70
2022.11.14,12.8,7.9,10.35
2022.11.15,8.2,4.9,6.55
